구분,세대수,합계,남,여,경도,위도,OBJECTID,adm_cd
동서학동,"3,224","6,247","3,085","3,162",127.1703982,35.79567857,"2,221",3501160
서서학동,"4,470","8,462","4,124","4,338",127.14613,35.79837487,"2,222",3501161
중화산1동,"6,365","14,027","6,738","7,289",127.1285296,35.81139876,"2,223",3501162
중화산2동,"9,191","19,450","9,728","9,722",127.1210005,35.82287172,"2,224",3501163
평화1동,"7,206","12,621","6,093","6,528",127.1376734,35.79671017,"2,225",3501164
평화2동,"18,805","45,183","21,752","23,431",127.1255424,35.79318855,"2,226",3501165
서신동,"17,472","40,253","19,556","20,697",127.1147484,35.82580016,"2,227",3501166
삼천1동,"5,023","11,165","5,414","5,751",127.1180945,35.79944335,"2,228",3501167
삼천2동,"6,266","13,267","6,357","6,910",127.1170521,35.79665965,"2,229",3501168
삼천3동,"9,112","21,495","10,358","11,137",127.1131135,35.78969956,"2,230",3501169
효자1동,"5,618","12,329","5,932","6,397",127.127667,35.80630008,"2,231",3501170
효자2동,"4,583","9,763","4,653","5,110",127.1184956,35.81219987,"2,232",3501171
효자3동,"5,982","14,415","6,758","7,657",127.1144868,35.80550971,"2,233",3501172
효자4동,"16,332","38,870","18,907","19,963",127.0998394,35.82886203,"2,234",3501178
중앙동,"4,781","9,306","4,642","4,664",127.1459584,35.81957257,"2,235",3501174
풍남동,"2,409","3,946","1,980","1,966",127.1483809,35.81346082,"2,236",3501175
노송동,"5,936","11,340","5,532","5,808",127.1447305,35.8236558,"2,237",3501176
완산동,"2,757","5,273","2,589","2,684",127.1312391,35.80747062,"2,238",3501177
인후1동,"7,563","18,016","8,607","9,409",127.1559797,35.8378048,"2,239",3501254
인후2동,"5,951","11,033","5,482","5,551",127.1518331,35.84572516,"2,240",3501255
인후3동,"14,627","31,461","15,527","15,934",127.1677766,35.82639533,"2,241",3501256
덕진동,"10,688","20,795","10,532","10,263",127.1237543,35.83613207,"2,242",3501257
금암1동,"5,442","7,840","4,271","3,569",127.1316028,35.84113722,"2,243",3501258
금암2동,"5,128","9,713","4,750","4,963",127.1444188,35.84239184,"2,244",3501259
팔복동,"4,239","7,351","4,014","3,337",127.1140556,35.85625925,"2,245",3501260
우아1동,"6,086","12,604","6,284","6,320",127.1546816,35.85373985,"2,246",3501261
우아2동,"7,678","14,359","7,479","6,880",127.1735449,35.82939144,"2,247",3501262
호성동,"7,989","19,606","9,348","10,258",127.1592434,35.86628201,"2,248",3501263
송천1동,"23,616","63,858","31,569","32,289",127.1204736,35.85456688,"2,249",3501265
송천2동,"10,469","25,849","12,626","13,223",127.1184459,35.86872053,"2,250",3501266
조촌동,"6,337","12,478","6,402","6,076",127.0707452,35.87417442,"2,251",3501267
여의동,"12,491","30,333","15,227","15,106",127.0826449,35.87459936,"2,252",3501271
진북동,"6,938","13,648","6,657","6,991",127.1306408,35.82886344,"2,253",3501269
효자5동,"18,346","37,103","18,634","18,469",127.0998394,35.82886203,"3,458",3501179
혁신동,"6,816","20,122","9,763","10,359",127.0589345,35.83345182,"3,459",3501270
